	AFF1.mod	BAZ1A.mod	BCLAF1.mod	BTAF1.mod	CBFB.mod	CBX1.mod	CBX3.mod	CBX5.mod	CCNT2.mod	CHD3.mod	COPS2.mod	E2F1.mod	EED.mod	ELF4.mod	EOMES.mod	ETF1.mod	ETS2.mod	FLI1.mod	FOS.mod	FOXJ2.mod	FOXO3.mod	FOXP3.mod	FUBP1.mod	FUS.mod	GATA3.mod	HAT1.mod	HBP1.mod	HDAC2.mod	HDAC4.mod	HIF1A.mod	IKZF1.mod	IRF7.mod	IRF8.mod	JUNB.mod	KLF1.mod	MAF.mod	MEF2A.mod	MLL.mod	MORF4L2.mod	MTA1.mod	NAB1.mod	NCOA3.mod	NFATC3.mod	NFKB1.mod	PATZ1.mod	PBX2.mod	PHF1.mod	PKNOX1.mod	PNN.mod	RBBP7.mod	RBL2.mod	RORC.mod	RREB1.mod	RUNX1.mod	RUNX3.mod	SKIL.mod	SMAD3.mod	SMAD7.mod	SMARCC1.mod	SMARCD2.mod	SP1.mod	STAT1.mod	STAT2.mod	STAT3.mod	STAT4.mod	STAT5B.mod	STAT6.mod	TAF2.mod	TAF9.mod	TBX21.mod	TCF12.mod	TCF7.mod	TFAM.mod	TOX.mod	WHSC1L1.mod	YY1.mod	ZBTB7B.mod	CD14.mod	CD160.mod	CD19.mod	CD244.mod	CD28.mod	CD2.mod	CD33.mod	CD3E.mod	CD4.mod	CD5.mod	CD8A.mod	CD8B.mod	CTLA4.mod	CXCR1.mod	FASLG.mod	GNLY.mod	GZMA.mod	GZMB.mod	GZMK.mod	GZMM.mod	IL15RA.mod	IL27RA.mod	IL2RA.mod	IL2RB.mod	ITGB3.mod	KIR2DL1.mod	KIR2DS4.mod	KLRD1.mod	MPO.mod	NCAM1.mod	NKG7.mod	PRF1.mod	THBD.mod	TIGIT.mod
IKZF1.mod	0	0	0	0	0.03	0	0	0	0	0.284090909	0	0	0	0	0	0	0	0	0	0	0	0.056179775	0	0	0.186813187	0	0	0	0	0	1	0	0	0	0	0.210526316	0	0	0	0	0	0	0.021505376	0	0	0	0.021505376	0	0	0	0.386363636	0.031914894	0	0	0	0	0	0	0.022727273	0	0	0	0	0	0	0	0	0	0	0	0	0.197802198	0	0	0	0	0	0	0	0	0	0.202247191	0.010204082	0	0.082474227	0	0.072916667	0	0	0.2	0	0	0	0	0	0	0	0	0	0.108695652	0	0	0	0	0	0	0	0	0	0	0.021276596
IRF7.mod	0.326086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.714285714	0.896907216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRF8.mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177083333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35483871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JUNB.mod	0.010869565	0.09375	0	0	0	0.172043011	0	0	0	0	0	0	0	0.010416667	0	0	0	0.01	0.193181818	0.072916667	0.443298969	0	0	0	0	0	0.255102041	0	0	0	0	0	0	1	0	0	0	0	0	0	0.270833333	0	0	0	0	0.459183673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.132653061	0	0	0.03125	0	0	0	0	0	0	0	0	0.041666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221052632	0
KLF1.mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010309278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373626374	0	0	0	0.045454545	0	0	0	0	0
MAF.mod	0	0	0	0	0.05	0	0	0	0	0.261363636	0	0.01010101	0	0	0	0	0	0	0	0	0	0.393258427	0	0	0.208791209	0	0	0	0	0	0.210526316	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.079545455	0.223404255	0	0	0	0	0	0	0	0	0	0	0	0	0.010752688	0	0	0	0	0	0	0.153846154	0	0	0	0	0	0	0	0	0	0.280898876	0.255102041	0	0.206185567	0	0.28125	0	0	0.433333333	0	0	0	0	0	0.022727273	0	0	0	0.369565217	0	0	0	0	0	0	0	0	0	0	0.106382979
MEF2A.mod	0	0	0	0	0	0	0.072916667	0	0	0	0	0	0	0	0	0	0.304347826	0	0	0	0	0	0	0	0	0.204819277	0	0	0.072164948	0.08045977	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06185567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLL.mod	0	0	0	0.077777778	0.01	0	0	0.157894737	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0.260869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.050505051	0	0	0.021505376	0	0.170212766	0	0.064516129	0	0.105882353	0.104166667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138297872	0	0	0.020408163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MORF4L2.mod	0	0	0.436781609	0.044444444	0	0	0	0	0	0	0.06185567	0	0	0	0	0	0	0	0	0	0	0	0.010869565	0.050632911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.01010101	0	0	0	0	0	0	0	0	0	0	0	0	0.030927835	0	0	0	0	0.010526316	0	0	0	0	0	0	0	0	0	0.053191489	0	0	0.010204082	0	0.031914894	0	0	0	0	0	0	0	0.010526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTA1.mod	0	0	0	0.133333333	0.01	0	0	0.010526316	0	0	0.103092784	0	0.010204082	0	0	0	0	0	0	0	0	0	0.195652174	0.012658228	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052631579	0.010869565	1	0	0	0	0	0.127659574	0	0	0	0.070588235	0.072916667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053191489	0	0	0.326530612	0	0.127659574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAB1.mod	0	0.166666667	0	0	0	0.419354839	0	0	0	0	0	0	0	0.072916667	0	0	0	0.28	0	0.03125	0.381443299	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0.276595745	0	0	0	0	0	0	1	0	0	0	0	0.418367347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0	0	0.387755102	0	0.022988506	0.197916667	0	0	0	0	0	0	0	0	0.03125	0.01010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103092784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336842105	0
NCOA3.mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357142857	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.516129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFATC3.mod	0	0	0.011494253	0	0	0	0	0	0	0	0	0.01010101	0	0	0.053763441	0	0	0	0	0	0	0	0	0	0.032967033	0	0	0	0	0	0.021052632	0	0	0	0	0	0	0.021052632	0	0	0	0	1	0	0	0	0.010752688	0	0	0.052083333	0.011363636	0	0	0	0.252631579	0	0	0.210526316	0	0	0	0	0	0	0.247311828	0	0	0.053191489	0	0.104166667	0	0	0	0.210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010638298	0	0.115789474	0	0	0.212765957	0	0	0	0.010309278	0	0.011494253	0.023255814	0.021052632	0	0	0.042105263	0.010309278	0	0.170212766
NFKB1.mod	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192771084	0	0	0.092783505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.18556701	0	0	0	0	0	0.022988506	0	0	0	0	0	0	0	0	0	0	0.01010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041237113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATZ1.mod	0	0	0	0.011111111	0	0	0	0.273684211	0	0	0.010309278	0	0.244897959	0	0	0	0	0	0	0	0	0	0.043478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168421053	0	0.121212121	0	0	0	0	1	0	0.064516129	0	0.023529412	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010204082	0	0.031914894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBX2.mod	0.010869565	0.197916667	0	0	0	0.290322581	0	0	0	0	0	0	0	0.020833333	0	0	0	0.15	0	0	0.371134021	0	0	0	0	0	0.306122449	0	0	0	0	0	0	0.478723404	0	0	0	0	0	0	0.427083333	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0.285714286	0	0.022988506	0.104166667	0	0	0	0	0	0	0	0	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092783505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242105263	0
PHF1.mod	0	0	0	0.044444444	0	0	0	0.031578947	0.1	0	0	0	0.020408163	0	0	0	0	0	0	0	0	0	0	0.113924051	0	0	0	0	0	0	0.021052632	0	0	0	0	0	0	0.063157895	0	0	0	0	0.010752688	0	0.063829787	0	1	0	0.094117647	0.020833333	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053763441	0	0	0	0	0	0	0	0	0	0	0	0	0.011111111	0.010869565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKNOX1.mod	0	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010309278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083333333	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.010309278	0	0	0	0.030612245	0	0.206896552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144329897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNN.mod	0	0	0.011494253	0.333333333	0	0	0	0.031578947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282608696	0.379746835	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094736842	0	0.060606061	0	0	0	0	0.021276596	0	0.086021505	0	1	0.09375	0	0	0	0	0	0	0.020833333	0	0.011363636	0	0	0	0	0	0	0	0	0.180851064	0	0	0.030612245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBBP7.mod	0	0	0	0.011111111	0	0	0	0.010526316	0	0	0	0.060606061	0.091836735	0	0	0	0	0	0	0	0	0	0.108695652	0.012658228	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105263158	0	0.070707071	0	0	0.053763441	0	0.031914894	0	0.021505376	0	0.105882353	1	0	0	0	0	0	0	0.010416667	0	0	0	0	0	0	0	0	0	0	0.085106383	0	0	0.040816327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBL2.mod	0	0	0	0	0	0	0	0	0.011111111	0.272727273	0	0	0	0	0	0	0	0	0	0	0	0.011235955	0	0.012658228	0.120879121	0	0	0	0	0	0.357894737	0	0	0	0	0.073684211	0	0	0	0	0	0	0.010752688	0	0	0	0	0	0	0	1	0.010638298	0	0	0	0	0	0	0.011363636	0	0	0	0	0	0	0	0	0	0	0	0	0.208791209	0	0	0.010752688	0	0	0	0	0	0	0.168539326	0	0	0.072164948	0	0.03125	0	0.02173913	0.111111111	0	0	0	0	0	0	0	0	0	0.010869565	0	0	0	0	0	0	0	0	0	0	0.010638298
RORC.mod	0	0	0	0	0	0	0	0	0	0.090909091	0	0	0	0	0.010752688	0	0	0	0	0	0	0.078651685	0	0	0.098901099	0	0	0	0	0	0.031578947	0	0	0	0	0.221052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011363636	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	0	0	0	0	0	0	0	0	0	0.168539326	0.591836735	0	0.515463918	0	0.5	0.111111111	0.097826087	0.044444444	0	0	0	0	0	0.272727273	0	0	0	0.02173913	0	0	0	0	0	0	0	0	0	0	0.021276596
RREB1.mod	0	0	0.011494253	0	0	0	0	0	0	0	0.010309278	0	0	0	0	0.233333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032608696	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092783505	0	0.041666667	0	0	0	0	0	0	0	0	0	0	0	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX1.mod	0	0	0	0	0	0	0.0625	0	0	0	0	0	0	0	0	0	0.02173913	0	0	0	0	0	0	0	0	0.012048193	0	0	0	0	0	0	0	0	0	0	0.072289157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010204082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX3.mod	0	0	0	0	0	0	0	0	0	0	0	0.080808081	0	0	0.301075269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258064516	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.294736842	0	0	0	0	0	0	0.376344086	0	0	0	0	0.604166667	0	0	0	0.842105263	0	0	0	0	0.364583333	0	0.157894737	0	0	0	0	0	0	0	0	0	0	0.425531915	0.452631579	0.610526316	0.364583333	0	0.521276596	0	0	0	0.412371134	0	0.264367816	0.395348837	0.526315789	0	0.329545455	0.536842105	0.381443299	0	0.085106383
SKIL.mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022222222	0	0	0.011363636	0	0	0	0	0	0	0	0	0	0	0.137931034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD3.mod	0	0	0	0.111111111	0	0	0	0.010526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173469388	0	0	0	0	0	0	0	0	0.043956044	0	0	0	0	0	0	0.023529412	0.010416667	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020408163	0	0	0	0	0	0	0	0	0.096774194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAD7.mod	0	0	0.011494253	0	0	0	0	0	0	0	0	0	0	0	0.182795699	0	0	0	0	0	0	0	0	0	0.087912088	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010869565	0	0	0	0.215053763	0	0	0	0	0	0	0	0	0	0	0	0.294736842	0	0	1	0	0	0	0	0	0	0.344086022	0	0	0	0	0.145833333	0	0	0	0.231578947	0	0	0	0	0.020833333	0	0	0	0	0	0	0	0	0.2	0.086956522	0	0	0.021276596	0.042105263	0.189473684	0	0.136363636	0.404255319	0	0	0	0.030927835	0	0.011494253	0.046511628	0.063157895	0	0	0.094736842	0	0	0.20212766
SMARCC1.mod	0	0	0.022988506	0.011111111	0	0	0	0	0.322222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063291139	0	0	0	0	0	0	0.021052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086021505	0	0.011764706	0	0.011363636	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451612903	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD2.mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012048193	0	0	0	0	0	0	0	0	0.010526316	0	0	0	0	0	0	0	0	0.1875	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022727273	0	0	0	0	0
SP1.mod	0.043478261	0.5	0	0	0	0.23655914	0	0	0	0	0	0	0	0.135416667	0	0	0	0.64	0	0.010416667	0.226804124	0	0	0	0	0	0.040816327	0	0	0	0	0	0	0.106382979	0	0	0	0	0	0	0.375	0	0	0	0	0.214285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.551020408	0	0.137931034	0.302083333	0	0	0	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113402062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273684211	0
STAT1.mod	0.423913043	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.721649485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.742268041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT2.mod	0.315217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.896907216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.734693878	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAT3.mod	0	0.5	0	0	0	0.161290323	0	0	0	0	0	0	0	0.052083333	0	0	0	0.46	0	0.010416667	0.206185567	0	0	0	0	0	0.12244898	0	0	0	0	0	0	0.138297872	0	0	0	0	0	0	0.395833333	0	0	0	0	0.285714286	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0	0	1	0	0.390804598	0.15625	0	0	0	0	0	0	0	0	0	0.04040404	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18556701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284210526	0
STAT4.mod	0	0	0	0	0	0	0	0	0	0.011363636	0	0.090909091	0	0	0.279569892	0	0	0	0	0	0	0	0	0	0.087912088	0	0	0	0	0	0	0	0	0	0	0.010526316	0	0	0	0	0	0	0.247311828	0	0	0	0	0	0	0	0	0	0	0	0.368421053	0	0	0.336842105	0	0	0	0	0	0	1	0	0	0	0	0.208333333	0	0	0	0.378947368	0	0	0	0	0.104166667	0	0	0	0	0	0	0	0	0.033333333	0	0	0	0.127659574	0.115789474	0.284210526	0.072916667	0.034090909	0.606382979	0	0	0	0.092783505	0	0.08045977	0.069767442	0.126315789	0	0.056818182	0.147368421	0.092783505	0	0.446808511
STAT5B.mod	0	0.28125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0	0	0.010309278	0	0	0	0	0	0.020408163	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020833333	0	0	0.020833333	0	0.020408163	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0.346938776	0	1	0.041666667	0	0	0	0	0	0	0	0	0	0.050505051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134020619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063157895	0
STAT6.mod	0	0.041666667	0	0	0	0.52688172	0	0	0	0	0	0	0	0.145833333	0	0	0	0.22	0	0.09375	0.257731959	0	0	0	0	0	0	0	0.020618557	0	0	0	0	0.031914894	0	0	0	0	0	0	0.197916667	0	0	0	0	0.102040816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0	0	0.153061224	0	0.045977011	1	0	0	0	0	0	0	0	0	0.010416667	0.292929293	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082474227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463157895	0
TAF2.mod	0	0	0.206896552	0.255555556	0.01	0	0	0	0	0	0.041237113	0	0	0	0	0	0	0	0	0	0	0	0.315217391	0.17721519	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136842105	0.054347826	0.050505051	0	0	0.053763441	0	0	0	0	0	0.2	0.083333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.142857143	0	0.010638298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF9.mod	0	0	0	0	0.03	0	0	0	0	0	0.051546392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.074468085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12244898	0	0	0	0	0	0	0	0	0	0	0	0
TBX21.mod	0	0	0	0	0	0	0	0	0	0	0	0.101010101	0	0	0.344086022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107526882	0	0	0	0	0	0	0	0	0	0	0	0.610526316	0	0	0.147368421	0	0	0	0	0	0	0.215053763	0	0	0	0	1	0	0	0	0.673684211	0	0	0	0	0.552083333	0	0.336842105	0	0	0	0	0	0	0	0	0	0	0.776595745	0.726315789	0.8	0.65625	0	0.468085106	0	0	0	0.608247423	0	0.528735632	0.662790698	0.768421053	0	0.579545455	0.863157895	0.690721649	0	0.031914894
TCF12.mod	0	0	0.045977011	0.222222222	0.11	0	0	0	0	0	0.18556701	0	0.020408163	0	0	0	0	0	0	0	0	0	0.076086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021052632	0.010869565	0.323232323	0	0	0	0	0.010638298	0	0	0	0.035294118	0.041666667	0	0	0	0	0	0	0.020833333	0	0	0	0	0	0	0	0	0	0	0.14893617	0	0	1	0	0.159574468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCF7.mod	0	0	0	0	0	0	0	0	0	0.545454545	0	0	0	0	0	0	0	0	0	0	0	0.303370787	0	0	0.120879121	0	0	0	0	0	0.189473684	0	0	0	0	0.147368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215909091	0.138297872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.775280899	0.163265306	0	0.443298969	0	0.479166667	0	0	0.311111111	0	0	0	0	0	0.022727273	0	0	0	0.141304348	0	0	0	0	0	0	0	0	0	0	0
TFAM.mod	0	0	0.034482759	0.022222222	0.04	0	0	0	0	0	0.402061856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032608696	0.121212121	0	0	0	0	0.031914894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010638298	0.07	0	0.153061224	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOX.mod	0	0	0	0	0	0	0	0	0	0	0	0.080808081	0	0	0.344086022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215053763	0	0	0	0	0	0	0	0	0	0	0	0.842105263	0	0	0.231578947	0	0	0	0	0	0	0.387096774	0	0	0	0	0.666666667	0	0	0	1	0	0	0	0	0.395833333	0	0.189473684	0	0	0	0	0	0	0	0	0	0	0.489361702	0.505263158	0.694736842	0.427083333	0	0.585106383	0	0	0	0.453608247	0	0.32183908	0.465116279	0.578947368	0	0.386363636	0.621052632	0.443298969	0	0.117021277
WHSC1L1.mod	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025316456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053763441	0	0	0	0.011363636	0	0	0	0	0	0	0	0.477272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.010416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YY1.mod	0	0	0	0	0	0.064516129	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.052083333	0.020618557	0	0	0	0	0	0.030612245	0	0	0	0	0	0	0.042553191	0	0	0	0	0	0	0.03125	0	0	0	0	0.010204082	0	0	0	0	0	0	0	0	0	0	0	0	0.011363636	0	0	0	0	0	0	0	0.010416667	0	0	0	0	0	0	0	0.010752688	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
