	AFF1.mod	BAZ1A.mod	BCLAF1.mod	BTAF1.mod	CBFB.mod	CBX1.mod	CBX3.mod	CBX5.mod	CCNT2.mod	CHD3.mod	COPS2.mod	E2F1.mod	EED.mod	ELF4.mod	EOMES.mod	ETF1.mod	ETS2.mod	FLI1.mod	FOS.mod	FOXJ2.mod	FOXO3.mod	FOXP3.mod	FUBP1.mod	FUS.mod	GATA3.mod	HAT1.mod	HBP1.mod	HDAC2.mod	HDAC4.mod	HIF1A.mod	IKZF1.mod	IRF7.mod	IRF8.mod	JUNB.mod	KLF1.mod	MAF.mod	MEF2A.mod	MLL.mod	MORF4L2.mod	MTA1.mod	NAB1.mod	NCOA3.mod	NFATC3.mod	NFKB1.mod	PATZ1.mod	PBX2.mod	PHF1.mod	PKNOX1.mod	PNN.mod	RBBP7.mod	RBL2.mod	RORC.mod	RREB1.mod	RUNX1.mod	RUNX3.mod	SKIL.mod	SMAD3.mod	SMAD7.mod	SMARCC1.mod	SMARCD2.mod	SP1.mod	STAT1.mod	STAT2.mod	STAT3.mod	STAT4.mod	STAT5B.mod	STAT6.mod	TAF2.mod	TAF9.mod	TBX21.mod	TCF12.mod	TCF7.mod	TFAM.mod	TOX.mod	WHSC1L1.mod	YY1.mod	ZBTB7B.mod	CD14.mod	CD160.mod	CD19.mod	CD244.mod	CD28.mod	CD2.mod	CD33.mod	CD3E.mod	CD4.mod	CD5.mod	CD8A.mod	CD8B.mod	CTLA4.mod	CXCR1.mod	FASLG.mod	GNLY.mod	GZMA.mod	GZMB.mod	GZMK.mod	GZMM.mod	IL15RA.mod	IL27RA.mod	IL2RA.mod	IL2RB.mod	ITGB3.mod	KIR2DL1.mod	KIR2DS4.mod	KLRD1.mod	MPO.mod	NCAM1.mod	NKG7.mod	PRF1.mod	THBD.mod	TIGIT.mod
COPS2.mod	0	0	0.126436782	0.022222222	0.11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.012658228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065217391	0.101010101	0	0	0	0	0.010638298	0	0	0	0	0	0	0	0.010309278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042553191	0.05	0	0.183673469	0	0.414893617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F1.mod	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.193548387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010526316	0	0	0	0	0	0	0.010752688	0	0	0	0	0	0	0.0625	0	0	0	0	0.084210526	0	0	0	0	0	0	0	0	0	0.096774194	0	0	0	0	0.104166667	0	0	0	0.084210526	0	0	0	0	0.072916667	0	0.052631579	0	0	0	0	0	0	0	0	0	0	0.138297872	0.084210526	0.136842105	0.0625	0	0.117021277	0	0	0	0.06185567	0	0	0.023255814	0.084210526	0	0.045454545	0.094736842	0.103092784	0	0.085106383
EED.mod	0	0	0	0	0.02	0	0	0.421052632	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147368421	0	0.01010101	0	0	0	0	0.255319149	0	0.021505376	0	0	0.09375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020408163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELF4.mod	0	0.052083333	0	0	0	0.086021505	0	0	0	0	0	0	0	1	0	0	0	0.09	0	0.125	0.082474227	0	0	0	0	0	0	0	0.010309278	0.137931034	0	0	0	0.010638298	0	0	0	0	0	0	0.072916667	0	0	0	0	0.020408163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0.010204082	0	0.051020408	0	0	0.145833333	0	0	0	0	0	0	0	0	0	0.151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084210526	0
EOMES.mod	0	0	0	0	0	0	0	0	0	0	0	0.181818182	0	0	1	0	0	0	0	0	0	0	0	0	0.021978022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053763441	0	0	0	0	0	0	0	0	0.010638298	0	0	0.294736842	0	0	0.178947368	0	0	0	0	0	0	0.279569892	0	0	0	0	0.333333333	0	0	0	0.336842105	0	0	0	0	0.135416667	0	0.084210526	0	0.010204082	0	0	0	0	0.077777778	0.02173913	0	0	0.287234043	0.2	0.473684211	0.145833333	0.102272727	0.478723404	0	0	0	0.144329897	0	0.137931034	0.186046512	0.273684211	0	0.113636364	0.315789474	0.216494845	0	0.223404255
ETF1.mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022988506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216494845	0	0	0.029850746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030612245	0	0	0	0	0	0.195876289	0	0.041666667	0	0	0	0	0	0	0	0	0	0	0	0.052083333	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS2.mod	0	0	0	0	0	0	0.114583333	0	0	0	0	0	0	0	0	0	1	0	0	0.020833333	0	0	0	0	0	0.253012048	0	0	0.278350515	0.091954023	0	0	0	0	0	0	0.337349398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020618557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03030303	0.030612245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLI1.mod	0.054347826	0.447916667	0	0	0	0.172043011	0	0	0	0	0	0	0	0.09375	0	0	0	1	0	0	0.082474227	0	0	0	0	0	0.081632653	0	0	0	0	0	0	0.010638298	0	0	0	0	0	0	0.291666667	0	0	0	0	0.153061224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0	0	0.469387755	0	0.126436782	0.229166667	0	0	0	0	0	0	0	0	0.010416667	0.080808081	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082474227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168421053	0
FOS.mod	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.041666667	0.072164948	0	0	0	0	0	0	0	0	0.16091954	0	0	0	0.180851064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014925373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010526316	0
FOXJ2.mod	0	0.010416667	0	0	0	0.075268817	0	0	0	0	0	0	0	0.125	0	0	0.02173913	0	0.045454545	1	0.18556701	0	0	0	0	0	0.010204082	0	0.041237113	0.011494253	0	0	0	0.074468085	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.010204082	0	0	0.09375	0	0	0	0	0	0	0	0	0.052083333	0.050505051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094736842	0
