,marker,subset,marker_subset,t,pval,lfc
25,CD122,CD8_memory,CD122_CD8_memory,-1.12767868830117,0.274745661204793,-0.0371280223758233
26,CD57,CD8_memory,CD57_CD8_memory,-1.10524875286213,0.28028262177972,-0.268226862922327
27,CD178,CD8_memory,CD178_CD8_memory,-1.0926099679757,0.285532411724934,-0.0857680191267461
28,PD1,NK,PD1_NK,1.05529625125285,0.326145099223244,0.389161919184324
29,KLRG1,NK,KLRG1_NK,1.01648924152928,0.346620795406114,0.198198380570923
30,GrzmB,CD4_memory,GrzmB_CD4_memory,0.961759067305053,0.348579119474351,0.213729910793925
31,CD127,NK,CD127_NK,-1.01335813164652,0.366013584582625,-0.116438840645586
32,CD122,CD4_memory,CD122_CD4_memory,0.903456498264203,0.377798179404584,0.0352962990629314
33,CXCR5,NKT,CXCR5_NKT,-0.920509915611601,0.37880164076845,-0.109909536489649
34,GrzmB,CD8_memory,GrzmB_CD8_memory,0.846309352160858,0.412178763351047,0.161632239548236
35,CD127,CD8_naive,CD127_CD8_naive,-0.887427869984104,0.412864188604098,-0.167070491031836
36,Eomes,NK,Eomes_NK,-0.810274513219154,0.427174542034485,-0.101092028872063
37,CD94,NKT,CD94_NKT,-0.808274437219307,0.430994688726663,-0.144805347608009
38,GrzmB,CD8_naive,GrzmB_CD8_naive,0.792187813562748,0.44143322271372,0.203798220436948
39,PD1,CD4_memory,PD1_CD4_memory,0.791797026124938,0.447012136382486,0.0611336507514612
40,CD57,CD4_naive,CD57_CD4_naive,0.866979248890081,0.448959416768497,0.492041627234493
41,CD161,CD4_memory,CD161_CD4_memory,0.740248006269592,0.470800959115453,0.0823710476956573
42,CD57,NK,CD57_NK,0.725848953596496,0.477288376728045,0.154464145621031
43,PD1,NKT,PD1_NKT,0.787658554123453,0.482743000924168,0.244882104254971
44,CD122,CD4_naive,CD122_CD4_naive,0.701741474214051,0.492176564619061,0.0512098398087027
45,CD178,CD4_memory,CD178_CD4_memory,0.693566558292117,0.499964399070493,0.0575103162749965
46,CD160,NKT,CD160_NKT,0.682916210409935,0.506224666215898,0.0442598697488923
47,Eomes,CD8_naive,Eomes_CD8_naive,0.597821160902662,0.558288569327799,0.0700592209510915
48,GrzmB,NK,GrzmB_NK,0.597950491195543,0.560318655637188,0.119608908741845
49,CXCR5,NK,CXCR5_NK,0.590734810329064,0.573569858049916,0.170617084114579
50,KLRG1,CD8_memory,KLRG1_CD8_memory,0.57705067895435,0.579046189888567,0.106930621597015
51,KLRG1,CD4_memory,KLRG1_CD4_memory,0.571953587749452,0.591258880681489,0.115360685497631
52,CD161,CD8_memory,CD161_CD8_memory,-0.532826897782596,0.60223191062746,-0.126692456933695
53,CD122,NKT,CD122_NKT,0.527729187919164,0.604669386324234,0.0174699477321396
54,TIGIT,CD4_memory,TIGIT_CD4_memory,0.485077141019148,0.637114960749688,0.0357945060897047
55,KLRG1,NKT,KLRG1_NKT,-0.487426659849379,0.641582941924347,-0.11390011597908
56,GrzmB,CD4_naive,GrzmB_CD4_naive,0.456722617610817,0.652796705894814,0.115734369793432
57,CD178,NK,CD178_NK,0.448695774765422,0.658881269906185,0.0190766307492869
58,CD127,CD4_naive,CD127_CD4_naive,-0.439262790917084,0.686269592897737,-0.103561308508559
59,Tbet,CD4_naive,Tbet_CD4_naive,-0.402869452474534,0.692550497541111,-0.100671206733902
60,Tbet,CD4_memory,Tbet_CD4_memory,-0.388090652183719,0.702264740741342,-0.0503334712993033
61,CD127,NKT,CD127_NKT,0.401275468140441,0.712728997887666,0.118497304436336
62,Eomes,NKT,Eomes_NKT,-0.348367746789399,0.731403662027057,-0.0401147614917712
