,marker,subset,marker_subset,t,pval,lfc
50,CD127,CD4_memory,CD127_CD4_memory,-0.871921709709596,0.404413693764347,-0.107940630351221
51,KLRG1,NKT,KLRG1_NKT,0.861356436272964,0.431232040990093,0.240883315636941
52,KLRG1,NK,KLRG1_NK,0.802183914534508,0.445175458155513,0.167349062292345
53,Tbet,CD8_naive,Tbet_CD8_naive,0.753056871217576,0.466245017963584,0.150888390420463
54,Tbet,NK,Tbet_NK,0.731273960554472,0.47214265748785,0.135836420072837
55,CD161,NKT,CD161_NKT,0.716146068947682,0.48580931394161,0.13877376052677
56,CXCR5,CD8_naive,CXCR5_CD8_naive,0.749851432816615,0.497807251746018,0.202256193048019
57,Tbet,NKT,Tbet_NKT,-0.616573620108011,0.546480881959271,-0.197230624409526
58,CD122,NKT,CD122_NKT,0.583927266985617,0.567769012133685,0.114728040820699
59,Eomes,NKT,Eomes_NKT,0.537154151193332,0.601140487649027,0.119886084459787
60,Eomes,CD4_memory,Eomes_CD4_memory,-0.514168791574452,0.614708698492423,-0.0707949248778158
61,CD127,NKT,CD127_NKT,0.507319214370966,0.636315961613661,0.140812083749831
62,CD57,CD4_memory,CD57_CD4_memory,0.474482173986595,0.641235979793895,0.115764702748551
63,KLRG1,CD4_naive,KLRG1_CD4_naive,-0.468478195186734,0.649009617854446,-0.354711988417577
64,PD1,NKT,PD1_NKT,0.474493393308485,0.65361309168668,0.148585947776891
65,CD57,NKT,CD57_NKT,-0.454957371726447,0.654615897703896,-0.186348342586653
66,FoxP3,CD8_naive,FoxP3_CD8_naive,0.442845756067578,0.665678666280922,0.119388714830002
67,CD178,NK,CD178_NK,0.434167744885109,0.668181759854761,0.116490422668898
68,PD1,CD4_naive,PD1_CD4_naive,-0.370556566402009,0.727341132532702,-0.0643131389853803
69,CD122,CD4_memory,CD122_CD4_memory,-0.310172561048742,0.759395525506521,-0.0307264999354198
70,GrzmB,CD4_naive,GrzmB_CD4_naive,-0.296464884895055,0.76965810704947,-0.129698726210419
71,CD94,CD4_memory,CD94_CD4_memory,0.2662917718415,0.792305772320749,0.0566395168934311
72,CD127,NK,CD127_NK,0.271921791442196,0.798379772657707,0.0712390404907771
73,TIGIT,NKT,TIGIT_NKT,0.243894954985241,0.809507004737062,0.0715374481849676
74,CD94,NKT,CD94_NKT,-0.151656547341214,0.881453094375522,-0.0367393546142135
75,KLRG1,CD4_memory,KLRG1_CD4_memory,0.112141041368687,0.913697867706071,0.0337690312795924
76,PD1,NK,PD1_NK,0.0980037225576794,0.923556509486816,0.0223341429945261
77,CD178,NKT,CD178_NKT,0.0711381844670778,0.94443185187595,0.0333556938001989
78,GrzmB,CD4_memory,GrzmB_CD4_memory,-0.055391622733854,0.956617521335822,-0.0229736072228273
79,CXCR5,CD4_memory,CXCR5_CD4_memory,-0.0337351278464213,0.974149551181569,-0.00454879259566622
80,GrzmB,NKT,GrzmB_NKT,0.00781127084779815,0.993863750154821,0.00267332926851453
